uni,Country,Short Form
Federation University Australia,Australia,FedUni
Prince Sultan University,Saudia Arabia,PSU
Majmaah University,Saudia Arabia,MU
King Saud bin Abdulaziz University for Health Sciences,Saudia Arabia,KSAU-HS
Najran University,Saudia Arabia,NU
University of Tabuk,Saudia Arabia,UAT
Alfaisal University,Saudia Arabia,AU
Al Jouf University,Saudia Arabia,AJU
Effat University,Saudia Arabia,EU
University of Ha'il,Saudia Arabia,UH
Middlesex Univerisity Dubai,Dubai,MDX Dubai
SBS Swiss Business School,Dubai,SBS
University of Dubai,Dubai,UD
Maverick Business Academy London,Dubai,EPD-EU
Imam Malik College for Islamic Sharia and Law,Dubai,IMC
Dubai Medical College,Dubai,DMC
Abu Dhabi School of Management,Dubai,ADSM
Emirates Aviation University,Dubai,EAU
Fatima College of Health Sciences,Dubai,FCHS
Khawarizmi International College,Dubai,KIC
Emirates Institute for Banking and Financial Studies,Dubai,EIBFS
Abu Dhabi Polytechnic,Dubai,ADP
Al Falah University - Dubai,Dubai,AFUD
Al Qasimia University,Dubai,AQU
"Manipal University, Dubai",Dubai,MUD
Amity University Dubai,Dubai,AUD
Al Wasl University,Dubai,AWU
Paris-Sorbonne University Abu Dhabi,Dubai,SAS
Mohammed Bin Rashid University of Medicine and Health Sciences,Dubai,MBRU
ALHOSN University,Dubai,ALHOSN University
University of Limerick,Ireland,UL
Letterkenny Institute of Technology,Ireland,LYIT
Royal College of Surgeon in Ireland,Ireland,RCSI
Institute of Technology of Sligo,Ireland,ITS
GMIT Galway Campus,Ireland,GMIT
Dundalk Institute of Technology,Ireland,DkIT
Ulm University of Applied Sciences,Germany,ULM
TH Mittelhessen University of Applied Sciences - THM,Germany,FH
Tomorrow University of Applied Sciences,Germany,FH
Touro University Berlin | A Campus of Touro University New York � USA,Germany,BERLIN
Trier University,Germany,TU
Trier University of Applied Sciences,Germany,TU
TH Bingen University of Applied Sciences,Germany,FH
TH Georg Agricola University of Applied Sciences (THGA),Germany,FH
Technische Hochschule Ingolstadt,Germany,TU
Technische Hochschule Ostwestfalen-Lippe,Germany,TU
Steinbeis University - Schools of Next Practices,Germany,FH
Technical University of Applied Sciences Wildau,Germany,TU
Technical University of Munich,Germany,TUM
SRH University Heidelberg,Germany,Heid
SRH University of Applied Sciences in North Rhine-Westphalia,Germany,SRH
Schmalkalden University of Applied Sciences,Germany,FH
South Westphalia University of Applied Sciences,Germany,FH
SRH Berlin School of Design and Communication (BSDC),Germany,SRH
SRH Berlin University of Applied Sciences,Germany,SRH
RWTH Aachen University,Germany,RWTH
Saarland University,Germany,SU
RheinMain University of Applied Sciences,Germany,FH
Rhine-Waal University of Applied Sciences,Germany,RPTU
Rhineland-Palatinate Technical University Kaiserslautern-Landau,Germany,RPTU
Rosenheim Technical University of Applied Sciences,Germany,TH Rosenheim
Quadriga University of Applied Sciences Berlin,Germany,FH
Ravensburg-Weingarten University of Applied Sciences,Germany,RWUS
Reutlingen University,Germany,RU
OTH Regensburg,Germany,OTH
Otto von Guericke University Magdeburg,Germany,OTH
Paderborn University,Germany,PU
Pforzheim University,Germany,PU
Offenburg University of Applied Sciences,Germany,Uni Offen
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,OTH
Nordakademie Hochschule der Wirtschaft,Germany,HDW
Nordhausen University of Applied Sciences,Germany,FH
Nuertingen-Geislingen University,Germany,NGU
Nuremberg Tech,Germany,N�r
Munich University of Applied Sciences,Germany,MU
Neu-Ulm University of Applied Sciences,Germany,NEU
Magdeburg-Stendal University of Applied Sciences,Germany,FH
annheim Business School,Germany,MBS
Martin Luther University Halle-Wittenberg,Germany,MLU
Leipzig University,Germany,LU
Ludwigshafen University of Business and Society,Germany,LU
Macromedia University of Applied Sciences,Germany,FH
Kiel University,Germany,KU
Kiel University of Applied Sciences,Germany,Kiel
Landshut University of Applied Sciences,Germany,FH
Kaiserslautern University of Applied Sciences,Germany,FH
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
