uni,Country,Short Form
University of Applied Sciences Mainz,Germany,FH
University of Applied Sciences Mittweida,Germany,FH
University of Applied Sciences Neubrandenburg,Germany,Uni� Neub
University of Applied Sciences Potsdam,Germany,FHP
University for Sustainable Development Eberswalde,Germany,HNEE
University of Applied Management Studies,Germany,Uni Bre
University of Applied Sciences Bremerhaven,Germany,FH
TU Bergakademie Freiberg,Germany,TU
TU Darmstadt,Germany,TU
TU Dortmund University,Germany,TU
Ulm University,Germany,UM
